Source,Target,Label
1,0,instance of
2,0,subclass of
4,3,instance of
5,3,subclass of
6,3,part of
4,7,instance of
5,7,subclass of
6,7,part of
9,8,instance of
10,8,subclass of
6,8,part of
9,11,instance of
10,11,subclass of
6,11,part of
9,12,instance of
10,12,subclass of
6,12,part of
9,13,instance of
10,13,subclass of
6,13,part of
9,14,instance of
10,14,subclass of
6,14,part of
9,15,instance of
10,15,subclass of
6,15,part of
9,16,instance of
10,16,subclass of
6,16,part of
4,17,instance of
18,17,subclass of
4,19,instance of
18,19,subclass of
4,20,instance of
21,20,subclass of
22,20,part of
4,23,instance of
21,23,subclass of
22,23,part of
4,24,instance of
21,24,subclass of
22,24,part of
4,25,instance of
21,25,subclass of
22,25,part of
27,26,subclass of
27,28,subclass of
27,29,subclass of
27,30,subclass of
27,31,subclass of
